latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-4.331,144.187,312.8,1,1,2016-09-02,00:45,T,55,5.0       ,290.7,6.9
-4.333,144.196,312.1,1,1,2016-09-02,00:45,T,46,5.0       ,290,6.3
-5.823,145.561,319.6,1,1,2016-09-02,00:45,T,42,5.0       ,302.1,12.5
-6.408,145.852,313.6,1.1,1,2016-09-02,00:45,T,54,5.0       ,296.7,11
-6.48,145.96,330.6,1.1,1,2016-09-02,00:45,T,83,5.0       ,295.2,36.3
-9.227,147.058,322.4,1.2,1.1,2016-09-02,03:40,A,75,5.0       ,294.9,22.1
-9.109,147.169,314.7,1.2,1.1,2016-09-02,03:40,A,25,5.0       ,294.3,12.2
-8.991,146.984,312.7,1.2,1.1,2016-09-02,03:40,A,55,5.0       ,295.1,12
-8.479,146.474,313.1,1.3,1.1,2016-09-02,03:40,A,57,5.0       ,294.6,12.2
-6.577,146.224,321.6,1.3,1.1,2016-09-02,03:40,A,41,5.0       ,304.8,18.9
-6.347,146.333,320.3,1.2,1.1,2016-09-02,03:40,A,35,5.0       ,299.3,10.9
-6.391,145.869,311.1,1.3,1.1,2016-09-02,03:40,A,30,5.0       ,295.1,10.4
-5.405,147.213,315.4,1.1,1,2016-09-02,03:40,A,0,5.0       ,296.7,10.8
-4.488,144.134,316.3,1.6,1.3,2016-09-02,03:40,A,62,5.0       ,294.3,25.5
-4.019,143.369,363.1,1.8,1.3,2016-09-02,03:40,A,87,5.0       ,291.2,247.1
-4.021,143.353,319.4,1.9,1.3,2016-09-02,03:40,A,0,5.0       ,286.9,41.3
-4.022,143.38,325.2,1.8,1.3,2016-09-02,03:40,A,77,5.0       ,289.6,55.3
-4.01,143.378,325.4,1.8,1.3,2016-09-02,03:40,A,49,5.0       ,286.5,53.7
-4.013,143.362,343.5,1.8,1.3,2016-09-02,03:40,A,0,5.0       ,287.4,124.4
-3.889,142.114,360.1,2.3,1.5,2016-09-02,03:40,A,100,5.0       ,291.1,309.8
-3.875,142.113,344.9,2.3,1.5,2016-09-02,03:40,A,93,5.0       ,287.5,193.6
18.703,105.254,318.1,1.7,1.3,2016-09-02,04:00,T,69,5.0       ,285.9,30.7
18.704,105.249,314,1.7,1.3,2016-09-02,04:00,T,45,5.0       ,286,20.1
14.345,108.859,311.8,3.8,1.8,2016-09-02,04:00,T,51,5.0       ,285.9,59.5
14.219,108.863,310.8,3.8,1.8,2016-09-02,04:00,T,43,5.0       ,287,58.6
14.11,109.17,315.8,4,1.9,2016-09-02,04:00,T,61,5.0       ,288.3,79.7
14.105,109.161,313.9,4,1.9,2016-09-02,04:00,T,56,5.0       ,288.1,65.8
12.992,108.823,312.6,4,1.9,2016-09-02,04:00,T,55,5.0       ,285.4,66.8
11.252,105.233,315.7,2.3,1.5,2016-09-02,04:00,T,46,5.0       ,291.2,34.2
10.924,104.123,313.2,1.9,1.3,2016-09-02,04:00,T,57,5.0       ,286.5,29.4
10.617,105.101,312.2,2.3,1.5,2016-09-02,04:00,T,42,5.0       ,283.1,30.6
