latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
21.899,102.703,314.1,4.3,1.9,2016-04-19,03:10,T,52,5.0       ,281.8,125.4
21.896,102.698,311.8,4.3,1.9,2016-04-19,03:10,T,42,5.0       ,281.7,106.6
14.853,121.155,322.8,3.6,1.8,2016-04-19,03:10,T,76,5.0       ,294.6,127.6
16.912,101.796,316.9,4.3,1.9,2016-04-19,03:10,T,39,5.0       ,292.7,75.1
15.927,107.213,313.6,1.6,1.3,2016-04-19,03:10,T,51,5.0       ,292.2,23.4
16.185,103.578,317.5,3.1,1.7,2016-04-19,03:10,T,24,5.0       ,294.8,45.7
14.993,106.544,318.6,1.8,1.3,2016-04-19,03:10,T,50,5.0       ,294.3,27.2
15.149,104.47,321,2.5,1.5,2016-04-19,03:10,T,54,5.0       ,298.2,37.6
14.141,107.659,332,1.4,1.2,2016-04-19,03:10,T,84,5.0       ,304.3,42.9
14.165,107.306,326.2,1.5,1.2,2016-04-19,03:10,T,79,5.0       ,300.1,33.3
14.295,105.641,318.6,2,1.4,2016-04-19,03:10,T,70,5.0       ,297.3,26.9
14.139,106.422,325.7,1.7,1.3,2016-04-19,03:10,T,69,5.0       ,298.8,20.2
14.143,106.415,328.4,1.7,1.3,2016-04-19,03:10,T,75,5.0       ,299.1,28.4
13.964,106.734,324.6,1.6,1.3,2016-04-19,03:10,T,50,5.0       ,300.7,19.1
13.962,106.749,332,1.6,1.3,2016-04-19,03:10,T,84,5.0       ,301.7,39.1
14.282,103.86,323.2,2.8,1.6,2016-04-19,03:10,T,59,5.0       ,295.2,37.1
14.278,103.852,323.2,2.8,1.6,2016-04-19,03:10,T,64,5.0       ,295.2,36.5
13.928,106.567,332.2,1.7,1.3,2016-04-19,03:10,T,84,5.0       ,297.8,61.6
13.837,107.182,322.5,1.5,1.2,2016-04-19,03:10,T,53,5.0       ,303.1,18.4
11.781,120.024,316.7,3.4,1.7,2016-04-19,03:10,T,57,5.0       ,299.3,60.2
11.785,120.019,316.7,3.4,1.7,2016-04-19,03:10,T,63,5.0       ,299.2,57.2
13.614,108.092,327.4,1.3,1.1,2016-04-19,03:10,T,80,5.0       ,305.8,20.1
14.023,103.987,325.1,2.7,1.6,2016-04-19,03:10,T,38,5.0       ,294.7,52.1
13.511,108.021,329.4,1.3,1.1,2016-04-19,03:10,T,63,5.0       ,308.1,17.4
13.497,107.258,331.7,1.5,1.2,2016-04-19,03:10,T,82,5.0       ,306.7,20.3
13.487,107.256,330.5,1.5,1.2,2016-04-19,03:10,T,79,5.0       ,307.2,18
13.485,107.27,332.2,1.5,1.2,2016-04-19,03:10,T,84,5.0       ,306.5,22.6
13.536,106.316,376.3,1.7,1.3,2016-04-19,03:10,T,100,5.0       ,302.9,286.6
13.534,106.332,326.8,1.7,1.3,2016-04-19,03:10,T,37,5.0       ,300,21.6
13.527,106.298,364.9,1.7,1.3,2016-04-19,03:10,T,100,5.0       ,301.2,198
13.525,106.314,407.8,1.7,1.3,2016-04-19,03:10,T,100,5.0       ,303.8,636.7
13.523,106.33,334.7,1.7,1.3,2016-04-19,03:10,T,86,5.0       ,301.2,46.2
13.451,106.904,337.6,1.6,1.2,2016-04-19,03:10,T,88,5.0       ,304.9,47.7
13.53,106.293,328.2,1.7,1.3,2016-04-19,03:10,T,65,5.0       ,300.2,19.6
13.528,106.309,405.4,1.7,1.3,2016-04-19,03:10,T,100,5.0       ,304.9,600
13.526,106.325,363.3,1.7,1.3,2016-04-19,03:10,T,100,5.0       ,302.1,185.4
