latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
2.263,111.804,312.2,1.1,1,2016-07-01,03:10,T,53,5.0       ,297.3,7
1.595,110.406,316.1,1,1,2016-07-01,03:10,T,34,5.0       ,299.5,9.4
1.318,111.222,316.5,1,1,2016-07-01,03:10,T,26,5.0       ,300.9,10.4
-0.973,117.14,310.5,2.7,1.6,2016-07-01,03:10,T,34,5.0       ,291,28.3
0.427,103.01,313.6,2.5,1.5,2016-07-01,03:10,T,41,5.0       ,297.3,33.6
-0.876,101.624,310,3,1.7,2016-07-01,03:10,T,10,5.0       ,295.4,31.9
-2.116,104.389,313.3,1.8,1.3,2016-07-01,03:10,T,36,5.0       ,299.5,20.5
-7.567,112.614,313.1,1.5,1.2,2016-07-01,03:10,T,34,5.0       ,295.8,15.3
-11.245,132.566,319.3,1,1,2016-07-01,01:30,T,67,5.0       ,303.2,11.3
-11.246,132.575,332,1,1,2016-07-01,01:30,T,84,5.0       ,304.6,28.9
-11.57,132.773,327.6,1,1,2016-07-01,01:35,T,81,5.0       ,303.7,23.4
-11.403,131.398,315.4,1,1,2016-07-01,01:35,T,27,5.0       ,299.2,9.7
-11.404,131.407,320.2,1,1,2016-07-01,01:35,T,51,5.0       ,301.6,14.2
-11.612,132.749,327.3,1,1,2016-07-01,01:35,T,71,5.0       ,302.3,20.5
-11.615,132.767,318.2,1,1,2016-07-01,01:35,T,54,5.0       ,302.8,9
-11.62,132.738,321.9,1,1,2016-07-01,01:35,T,34,5.0       ,303.2,16.3
-11.621,132.747,328.9,1,1,2016-07-01,01:35,T,77,5.0       ,304.8,24.7
-11.787,133.832,326.6,1.1,1,2016-07-01,01:35,T,77,5.0       ,304.5,21.5
-11.789,133.841,325.8,1.1,1,2016-07-01,01:35,T,70,5.0       ,304.1,18.9
-11.79,133.851,333.3,1.1,1,2016-07-01,01:35,T,81,5.0       ,304.9,28.9
-11.792,133.861,329,1.1,1,2016-07-01,01:35,T,67,5.0       ,304.5,20.8
-11.479,131.418,315.9,1,1,2016-07-01,01:35,T,30,5.0       ,294.1,12.4
-11.55,131.211,323.5,1,1,2016-07-01,01:35,T,72,5.0       ,288.6,25.2
-11.551,131.22,323,1,1,2016-07-01,01:35,T,76,5.0       ,284.3,24.7
-11.72,131.239,315.5,1,1,2016-07-01,01:35,T,59,5.0       ,300.8,9.5
28.351,119.775,311.2,1.3,1.1,2016-07-01,03:00,T,43,5.0       ,280.7,13.2
27.063,120.246,314.2,1.4,1.2,2016-07-01,03:00,T,60,5.0       ,298,13.2
25.026,118.626,319.1,1.2,1.1,2016-07-01,03:00,T,24,5.0       ,299.8,14.8
24.926,118.309,313.5,1.2,1.1,2016-07-01,03:00,T,58,5.0       ,293.5,10.9
-11.567,132.765,317,2.3,1.5,2016-07-01,04:20,A,67,5.0       ,301.8,32.8
-11.725,131.228,312.7,3.1,1.7,2016-07-01,04:20,A,46,5.0       ,300.8,37.7
-11.558,131.232,320.9,3.1,1.7,2016-07-01,04:20,A,65,5.0       ,300.7,80.9
-11.561,131.204,328.6,3.1,1.7,2016-07-01,04:20,A,82,5.0       ,301,135
-11.559,131.225,327.8,3.1,1.7,2016-07-01,04:20,A,81,5.0       ,301.2,130.8
-11.562,131.197,321,3.1,1.7,2016-07-01,04:20,A,73,5.0       ,300.4,85.6
-11.532,131.193,328.6,3.1,1.7,2016-07-01,04:20,A,82,5.0       ,300.5,134.4
-11.492,131.412,311.7,3,1.6,2016-07-01,04:20,A,50,5.0       ,299.2,37
-11.438,131.487,312.9,2.9,1.6,2016-07-01,04:20,A,30,5.0       ,300.6,33.7
-11.492,131.407,310.2,3,1.6,2016-07-01,04:20,A,27,5.0       ,299,27.6
-11.438,131.482,313.5,2.9,1.6,2016-07-01,04:20,A,48,5.0       ,300.8,37.9
-11.459,131.18,317.2,3.1,1.7,2016-07-01,04:20,A,67,5.0       ,300.4,70.7
-11.279,132.559,331.3,2.4,1.5,2016-07-01,04:20,A,0,5.0       ,301.6,106.1
-11.404,131.396,331.8,3,1.6,2016-07-01,04:20,A,84,5.0       ,301.2,146.3
-11.389,131.394,340.7,3,1.6,2016-07-01,04:20,A,90,5.0       ,300.6,218.5
-11.374,131.392,323.1,3,1.6,2016-07-01,04:20,A,71,5.0       ,300.8,91.3
-11.403,131.389,327,3,1.6,2016-07-01,04:20,A,48,5.0       ,300.8,107
-11.388,131.387,334.7,3,1.6,2016-07-01,04:20,A,85,5.0       ,300,165.4
-11.373,131.385,320.2,3,1.6,2016-07-01,04:20,A,54,5.0       ,300.1,74.6
11.051,106.975,317.8,1.2,1.1,2016-07-01,06:05,A,27,5.0       ,293.6,13.6
11.193,107.296,316.6,1.2,1.1,2016-07-01,06:05,A,0,5.0       ,293.1,11.9
11.45,106.639,328,1.3,1.1,2016-07-01,06:05,A,81,5.0       ,295.5,31.7
11.45,106.645,322.6,1.3,1.1,2016-07-01,06:05,A,75,5.0       ,295.4,23.4
11.618,106.801,313.6,1.3,1.1,2016-07-01,06:05,A,58,5.0       ,291.3,13
13.22,109.012,317.5,1,1,2016-07-01,06:05,A,61,5.0       ,290,11.1
14.295,108.678,317.5,1,1,2016-07-01,06:05,A,38,5.0       ,292,12.5
-9.411,119.387,316.8,1.7,1.3,2016-07-01,06:00,A,59,5.0       ,299.8,15.3
-10.02,147.848,320.2,3.2,1.7,2016-07-01,04:20,A,71,5.0       ,301.7,83.5
-10.004,147.844,330,3.2,1.7,2016-07-01,04:20,A,83,5.0       ,302.1,151.5
-10.009,147.816,320.6,3.2,1.7,2016-07-01,04:20,A,70,5.0       ,301.4,81.3
-10.009,147.84,336.5,3.2,1.7,2016-07-01,04:20,A,88,5.0       ,302.7,212.4
-10.014,147.812,316.6,3.2,1.7,2016-07-01,04:20,A,65,5.0       ,301.5,58.5
-9.953,147.625,320.3,3.1,1.7,2016-07-01,04:20,A,63,5.0       ,300.6,73.4
-9.928,147.584,327.4,3.1,1.7,2016-07-01,04:20,A,0,5.0       ,300.2,105
-9.879,147.602,319.6,3.1,1.7,2016-07-01,04:20,A,49,5.0       ,303,59.4
-9.884,147.576,320.2,3.1,1.7,2016-07-01,04:20,A,54,5.0       ,301.5,61.2
-9.864,147.6,330.7,3.1,1.7,2016-07-01,04:20,A,83,5.0       ,301.8,133.4
-9.869,147.573,334.3,3.1,1.7,2016-07-01,04:20,A,86,5.0       ,302,160.7
-9.882,147.598,317.6,3.1,1.7,2016-07-01,04:20,A,68,5.0       ,302.5,49.5
-9.886,147.572,317.3,3.1,1.7,2016-07-01,04:20,A,55,5.0       ,301.2,46.2
-9.867,147.595,337.5,3.1,1.7,2016-07-01,04:20,A,88,5.0       ,302.5,189.1
-9.872,147.568,332.1,3.1,1.7,2016-07-01,04:20,A,80,5.0       ,301.9,140.8
-9.833,147.617,313.9,3.1,1.7,2016-07-01,04:20,A,28,5.0       ,300.7,36.8
-9.842,147.562,315.9,3.1,1.7,2016-07-01,04:20,A,46,5.0       ,300.6,45.9
-11.878,133.617,317.2,2,1.4,2016-07-01,04:20,A,35,5.0       ,302.7,21.4
-11.798,133.862,326.8,1.9,1.4,2016-07-01,04:20,A,0,5.0       ,302,43.7
-11.801,133.845,343.2,1.9,1.4,2016-07-01,04:20,A,0,5.0       ,303,114.6
-11.803,133.827,355.2,1.9,1.4,2016-07-01,04:20,A,85,5.0       ,303.1,191.5
-11.79,133.89,325.7,1.9,1.4,2016-07-01,04:20,A,50,5.0       ,301.6,43.4
-11.792,133.873,326.5,1.9,1.4,2016-07-01,04:20,A,69,5.0       ,302.6,42.4
-11.794,133.855,329.3,1.9,1.4,2016-07-01,04:20,A,71,5.0       ,302.8,52.1
-11.797,133.838,356.6,1.9,1.4,2016-07-01,04:20,A,93,5.0       ,304.6,194.7
-11.799,133.82,338.7,1.9,1.4,2016-07-01,04:20,A,89,5.0       ,301.9,97.5
-11.787,133.818,319.9,1.9,1.4,2016-07-01,04:20,A,58,5.0       ,302.2,27.6
-11.789,133.801,328.7,1.9,1.4,2016-07-01,04:20,A,82,5.0       ,300.9,58.9
-9.557,147.347,315.4,3,1.7,2016-07-01,04:20,A,15,5.0       ,302.2,49.7
-11.635,132.736,336.9,2.3,1.5,2016-07-01,04:20,A,88,5.0       ,303.1,128.1
-11.609,132.733,322.6,2.3,1.5,2016-07-01,04:20,A,59,5.0       ,302.9,54.3
-11.577,132.773,320.4,2.3,1.5,2016-07-01,04:20,A,35,5.0       ,301.8,41.2
-11.566,132.75,315.3,2.3,1.5,2016-07-01,04:20,A,15,5.0       ,300.8,23.7
-11.58,132.766,317.7,2.3,1.5,2016-07-01,04:20,A,68,5.0       ,301.3,35.4
14.878,108.439,310.3,1,1,2016-07-01,06:10,A,19,5.0       ,286.1,5.2
14.961,108.568,314.4,1,1,2016-07-01,06:10,A,61,5.0       ,294.2,8.4
15.369,108.143,324.3,1,1,2016-07-01,06:10,A,77,5.0       ,289.6,22
16.263,107.647,315.8,1,1,2016-07-01,06:10,A,56,5.0       ,288.8,10.1
16.274,107.655,354.3,1,1,2016-07-01,06:10,A,97,5.0       ,291.4,78
16.272,107.646,333.1,1,1,2016-07-01,06:10,A,85,5.0       ,289.6,34.1
17.062,106.831,315.5,1.1,1,2016-07-01,06:10,A,64,5.0       ,291.3,10.4
17.061,106.821,323.1,1.1,1,2016-07-01,06:10,A,76,5.0       ,291.9,21
29.177,104.95,319.6,1,1,2016-07-01,06:10,A,65,5.0       ,299.2,12.7
29.257,104.875,314.7,1,1,2016-07-01,06:10,A,25,5.0       ,298.1,6.3
29.256,104.865,319.1,1,1,2016-07-01,06:10,A,69,5.0       ,298.6,11.4
29.316,104.836,323,1,1,2016-07-01,06:10,A,47,5.0       ,300.7,14.3
29.301,104.732,319.1,1,1,2016-07-01,06:10,A,23,5.0       ,301.5,9.8
29.325,104.834,323.9,1,1,2016-07-01,06:10,A,37,5.0       ,301.9,14.9
29.324,104.823,326.5,1,1,2016-07-01,06:10,A,66,5.0       ,301.8,17.7
29.321,104.803,319.2,1,1,2016-07-01,06:10,A,26,5.0       ,299.7,8.1
29.331,104.811,331.1,1,1,2016-07-01,06:10,A,67,5.0       ,303,22.1
29.33,104.801,330.7,1,1,2016-07-01,06:10,A,83,5.0       ,303.2,21.7
29.326,104.716,326,1,1,2016-07-01,06:10,A,39,5.0       ,303.6,14.9
29.583,105.019,323.6,1,1,2016-07-01,06:10,A,59,5.0       ,303.4,13.6
29.582,105.009,324.8,1,1,2016-07-01,06:10,A,61,5.0       ,303.6,16.4
30.846,104.391,326.2,1,1,2016-07-01,06:10,A,55,5.0       ,301,17.8
30.83,104.225,327.4,1,1,2016-07-01,06:10,A,72,5.0       ,299.2,22.3
30.829,104.215,321.9,1,1,2016-07-01,06:10,A,32,5.0       ,298.5,16.1
30.91,104.382,324.4,1,1,2016-07-01,06:10,A,54,5.0       ,302.3,14.9
30.995,104.402,324,1,1,2016-07-01,06:10,A,77,5.0       ,307.3,13.5
-0.293,109.858,315,1.2,1.1,2016-07-01,06:05,A,55,5.0       ,299.4,12.8
1.979,114.334,335.7,1.2,1.1,2016-07-01,06:05,A,87,5.0       ,297.7,45.5
1.978,114.324,323.4,1.2,1.1,2016-07-01,06:05,A,61,5.0       ,298.4,23.4
1.981,114.328,324.7,1.2,1.1,2016-07-01,06:05,A,78,5.0       ,298.4,28.5
1.43,109.921,312.4,1.1,1.1,2016-07-01,06:05,A,54,5.0       ,297.5,8.3
2.513,114.414,311.7,1.2,1.1,2016-07-01,06:05,A,47,5.0       ,295.1,10.5
2.173,111.193,319.9,1,1,2016-07-01,06:05,A,54,5.0       ,298.6,14.7
0.997,103.013,311.5,3.7,1.8,2016-07-01,06:05,A,42,5.0       ,294.6,56.3
4.566,103.457,317.3,2.9,1.6,2016-07-01,06:05,A,51,5.0       ,291.5,60.7
4.562,103.431,314.7,2.9,1.6,2016-07-01,06:05,A,62,5.0       ,291.6,49.6
10.738,106.54,316.9,1.3,1.1,2016-07-01,06:05,A,58,5.0       ,295,13.2
11.043,106.993,317,1.2,1.1,2016-07-01,06:05,A,27,5.0       ,293.3,11.2
11.053,106.986,328.4,1.2,1.1,2016-07-01,06:05,A,81,5.0       ,293.3,31.7
-0.884,101.635,308.7,1.3,1.1,2016-07-01,15:30,T,62,5.0       ,294.8,14.2
-0.886,101.623,315.8,1.3,1.1,2016-07-01,15:30,T,89,5.0       ,294.8,24.5
0.694,103.016,310.9,1.1,1,2016-07-01,15:30,T,73,5.0       ,297.1,11
0.679,100.371,334.2,1.5,1.2,2016-07-01,15:30,T,100,5.0       ,295.7,72.8
0.677,100.358,309.4,1.5,1.2,2016-07-01,15:30,T,66,5.0       ,294.9,18.3
1.58,101.802,334.7,1.2,1.1,2016-07-01,15:30,T,100,5.0       ,297,52
1.579,101.792,315.2,1.2,1.1,2016-07-01,15:30,T,87,5.0       ,296.3,19.4
1.678,100.984,307.3,1.3,1.1,2016-07-01,15:30,T,53,5.0       ,295.6,12.7
1.994,100.491,312.8,1.4,1.2,2016-07-01,15:30,T,80,5.0       ,296.1,22.8
2.478,100.245,306.7,1.4,1.2,2016-07-01,15:30,T,25,5.0       ,296.3,10.8
2.484,100.219,308.3,1.4,1.2,2016-07-01,15:30,T,58,5.0       ,296.4,13.8
2.561,100.188,307,1.4,1.2,2016-07-01,15:30,T,50,5.0       ,296.4,13.2
2.572,100.187,315.1,1.4,1.2,2016-07-01,15:30,T,87,5.0       ,297.1,26.4
3.181,103.355,309.1,1,1,2016-07-01,15:30,T,64,5.0       ,295.3,9.5
3.597,102.467,327.9,1,1,2016-07-01,15:30,T,100,5.0       ,294.5,32.3
3.638,102.436,313.4,1,1,2016-07-01,15:30,T,82,5.0       ,293.8,13.9
5.908,102.15,305.1,1,1,2016-07-01,15:30,T,20,5.0       ,294.3,5.6
1.582,101.798,308.1,1.9,1.3,2016-07-01,18:25,A,58,5.0       ,294.3,22.9
1.576,101.807,310.2,1.9,1.3,2016-07-01,18:25,A,70,5.0       ,294.2,28.5
