latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-11.45,142.367,342.8,1.8,1.3,2016-12-02,00:30,T,91,5.0       ,298.2,105
-11.453,142.384,340.7,1.8,1.3,2016-12-02,00:30,T,90,5.0       ,299.6,94.6
-11.603,142.396,326.2,1.8,1.3,2016-12-02,00:30,T,53,5.0       ,299.9,28.2
-11.615,142.394,324,1.8,1.3,2016-12-02,00:30,T,55,5.0       ,299.3,20.5
-11.618,142.411,334.9,1.8,1.3,2016-12-02,00:30,T,87,5.0       ,299.9,60.9
-11.62,142.427,329,1.8,1.3,2016-12-02,00:30,T,52,5.0       ,299.7,41
-11.673,142.451,329.5,1.8,1.3,2016-12-02,00:30,T,48,5.0       ,300.5,36.8
-11.525,153.355,314.7,1.1,1,2016-12-02,03:20,A,0,5.0       ,297.4,11.5
-11.516,153.354,333.2,1.1,1,2016-12-02,03:20,A,74,5.0       ,296.9,36.9
-9.402,150.595,328.2,1.4,1.2,2016-12-02,03:20,A,77,5.0       ,281.5,58.6
-8.527,146.696,311,2.8,1.6,2016-12-02,03:20,A,45,5.0       ,284.5,47.4
-7.257,146.18,311.2,2.9,1.6,2016-12-02,03:20,A,47,5.0       ,290.8,58.2
1.115,104.137,313.8,1.3,1.1,2016-12-02,03:45,T,0,5.0       ,292.6,10.6
-3.288,102.866,310.6,1.2,1.1,2016-12-02,03:45,T,20,5.0       ,288.2,8
22.651,109.183,310.9,1.3,1.1,2016-12-02,03:40,T,44,5.0       ,289,22.2
22.649,109.195,319.4,1.3,1.1,2016-12-02,03:40,T,71,5.0       ,289,35.4
22.886,107.109,313.2,1,1,2016-12-02,03:40,T,57,5.0       ,291.3,16.9
22.877,107.107,325.9,1,1,2016-12-02,03:40,T,79,5.0       ,290.9,32.2
22.532,108.974,310.1,1.2,1.1,2016-12-02,03:40,T,25,5.0       ,283.6,20.7
22.302,110.195,322.1,1.5,1.2,2016-12-02,03:40,T,75,5.0       ,288.8,47.9
22.352,108.261,321.1,1.2,1.1,2016-12-02,03:40,T,74,5.0       ,290.7,30.8
22.35,108.272,328.9,1.2,1.1,2016-12-02,03:40,T,82,5.0       ,290.8,43.4
21.878,105.48,314.1,1,1,2016-12-02,03:40,T,60,5.0       ,295,13.9
21.503,107.277,317.1,1.1,1,2016-12-02,03:40,T,67,5.0       ,293.8,19.9
21.501,107.287,324.6,1.1,1,2016-12-02,03:40,T,78,5.0       ,293,30
17.913,102.588,312.6,1.1,1.1,2016-12-02,03:40,T,46,5.0       ,297.9,8.4
17.343,104.794,312,1,1,2016-12-02,03:40,T,52,5.0       ,295.6,7.5
16.393,103.983,329.7,1,1,2016-12-02,03:40,T,83,5.0       ,297.6,25.5
16.443,100.581,317.8,1.4,1.2,2016-12-02,03:40,T,60,5.0       ,299.9,15.7
16.156,100.464,317.9,1.4,1.2,2016-12-02,03:40,T,69,5.0       ,298.1,17.1
16.145,100.463,325.9,1.4,1.2,2016-12-02,03:40,T,79,5.0       ,298.1,32.7
15.985,100.743,315.6,1.3,1.1,2016-12-02,03:40,T,64,5.0       ,298.4,11.4
15.122,106.503,311.8,1.2,1.1,2016-12-02,03:40,T,49,5.0       ,292.1,10.6
15.345,104.029,314.7,1,1,2016-12-02,03:40,T,62,5.0       ,287.6,14.6
-8.216,124.525,315.9,1,1,2016-12-02,02:10,T,40,5.0       ,298.9,9.5
-8.235,123.652,320.5,1,1,2016-12-02,02:10,T,32,5.0       ,299.8,11.8
-8.285,123.433,331.1,1,1,2016-12-02,02:10,T,49,5.0       ,307.3,19
-8.287,123.442,331.6,1,1,2016-12-02,02:10,T,26,5.0       ,307.3,19.8
-10.141,124.154,323,1,1,2016-12-02,02:10,T,52,5.0       ,303.2,12.7
-3.303,128.962,312.1,1.5,1.2,2016-12-02,02:05,T,0,5.0       ,287.9,13.3
15.624,100.543,318,1.4,1.2,2016-12-02,03:40,T,69,5.0       ,299.6,14.8
14.606,104.473,313.9,1,1,2016-12-02,03:40,T,59,5.0       ,296.8,6.4
15.106,100.122,316.9,1.4,1.2,2016-12-02,03:40,T,52,5.0       ,297.7,18.7
15.102,100.115,314.7,1.4,1.2,2016-12-02,03:40,T,33,5.0       ,297,13.5
15.051,100.253,316,1.4,1.2,2016-12-02,03:40,T,65,5.0       ,297.4,16.5
14.973,100.611,319,1.3,1.1,2016-12-02,03:40,T,70,5.0       ,296.8,21.6
14.947,100.021,315.2,1.4,1.2,2016-12-02,03:40,T,63,5.0       ,298,14.5
14.893,100.061,313.9,1.4,1.2,2016-12-02,03:40,T,60,5.0       ,297.6,14.8
14.642,100.34,313.5,1.4,1.2,2016-12-02,03:40,T,58,5.0       ,295.9,13.3
-8.718,140.755,313.8,2.7,1.6,2016-12-02,00:30,T,44,5.0       ,291.9,32.7
-10.272,149.226,315.1,1,1,2016-12-02,00:30,T,0,5.0       ,303.5,11.1
-9.146,141.702,319.5,2.3,1.5,2016-12-02,00:30,T,56,5.0       ,298.2,38.5
-11.155,142.74,321.8,1.7,1.3,2016-12-02,00:30,T,71,5.0       ,290.7,32.7
-11.162,142.707,319.9,1.7,1.3,2016-12-02,00:30,T,54,5.0       ,291,25.9
10.5,123.008,313.8,1.2,1.1,2016-12-02,05:05,A,51,5.0       ,296.1,10.2
10.524,123.036,315.2,1.2,1.1,2016-12-02,05:05,A,62,5.0       ,297.3,12.2
-0.213,101.665,318.7,1.1,1,2016-12-02,06:40,A,70,5.0       ,295.6,14
-0.206,101.667,315.1,1.1,1,2016-12-02,06:40,A,40,5.0       ,296.2,9.1
0.192,102.767,312,1,1,2016-12-02,06:40,A,32,5.0       ,296.1,7.6
14.828,100.037,314.9,1,1,2016-12-02,06:45,A,62,5.0       ,299.2,8.1
14.827,100.028,316.7,1,1,2016-12-02,06:45,A,66,5.0       ,299,10.1
15.071,100.516,319,1,1,2016-12-02,06:45,A,68,5.0       ,301.2,9
15.037,100.015,315.2,1,1,2016-12-02,06:45,A,63,5.0       ,298.6,8.3
15.108,100.391,317.7,1,1,2016-12-02,06:45,A,47,5.0       ,301.8,8.5
15.083,100.083,315.3,1,1,2016-12-02,06:45,A,56,5.0       ,298.7,8.7
15.092,100.082,317.5,1,1,2016-12-02,06:45,A,68,5.0       ,298.6,11
15.106,100.117,321.7,1,1,2016-12-02,06:45,A,74,5.0       ,300.8,15.3
15.157,100.273,325.6,1,1,2016-12-02,06:45,A,79,5.0       ,299.1,19.4
15.118,99.996,315.9,1,1,2016-12-02,06:45,A,56,5.0       ,299.4,9.1
15.21,100.264,319,1,1,2016-12-02,06:45,A,70,5.0       ,296.8,12.5
15.257,100.016,320,1,1,2016-12-02,06:45,A,72,5.0       ,297.6,12.7
15.256,100.007,323.1,1,1,2016-12-02,06:45,A,76,5.0       ,298.7,16.6
15.309,100.121,321.1,1,1,2016-12-02,06:45,A,74,5.0       ,297.7,14.6
16.332,103.615,314.9,1.4,1.2,2016-12-02,06:45,A,56,5.0       ,295.9,14.6
15.884,100.281,318.8,1,1,2016-12-02,06:45,A,70,5.0       ,300.1,12
16.351,103.633,313.1,1.4,1.2,2016-12-02,06:45,A,53,5.0       ,293,10.4
15.963,100.186,315.6,1,1,2016-12-02,06:45,A,64,5.0       ,299.9,8.3
16.129,100.58,316.5,1,1,2016-12-02,06:45,A,51,5.0       ,299.4,7.3
16.15,100.538,324.6,1,1,2016-12-02,06:45,A,78,5.0       ,302.6,16
16.142,99.762,320.6,1,1,2016-12-02,06:45,A,73,5.0       ,300.8,14.4
16.265,100.438,320,1,1,2016-12-02,06:45,A,72,5.0       ,301.7,10.7
16.322,100.451,324.9,1,1,2016-12-02,06:45,A,78,5.0       ,301.2,17.2
16.33,100.373,318.4,1,1,2016-12-02,06:45,A,69,5.0       ,301.4,10.3
16.329,100.364,316,1,1,2016-12-02,06:45,A,65,5.0       ,300.7,7.2
16.356,100.427,346.1,1,1,2016-12-02,06:45,A,93,5.0       ,302.4,54.1
16.355,100.417,323.5,1,1,2016-12-02,06:45,A,73,5.0       ,301.5,16.2
16.515,100.246,317.6,1,1,2016-12-02,06:45,A,68,5.0       ,297.5,10.1
16.539,100.358,323.7,1,1,2016-12-02,06:45,A,77,5.0       ,300.8,17.6
16.54,100.237,317.9,1,1,2016-12-02,06:45,A,69,5.0       ,298.1,9.8
16.61,100.274,325,1,1,2016-12-02,06:45,A,78,5.0       ,301.7,18.8
16.606,100.179,319.8,1,1,2016-12-02,06:45,A,72,5.0       ,299.9,14
16.622,100.16,313.3,1,1,2016-12-02,06:45,A,57,5.0       ,297.5,6.6
16.744,99.653,325.5,1,1,2016-12-02,06:45,A,79,5.0       ,300.4,19
17.06,100.261,333.7,1,1,2016-12-02,06:45,A,86,5.0       ,302.9,30.5
17.17,100.878,321.1,1.1,1,2016-12-02,06:45,A,74,5.0       ,302.6,15.8
17.12,100.237,326.8,1,1,2016-12-02,06:45,A,80,5.0       ,303,19.1
16.568,96.394,313.1,1.2,1.1,2016-12-02,06:45,A,39,5.0       ,298.6,9.2
17.401,101.966,310.1,1.2,1.1,2016-12-02,06:45,A,29,5.0       ,296.5,8
16.509,95.826,313,1.4,1.2,2016-12-02,06:45,A,40,5.0       ,301,11.1
17.17,100.126,321,1,1,2016-12-02,06:45,A,73,5.0       ,303.7,12.1
17.199,99.939,314.8,1,1,2016-12-02,06:45,A,62,5.0       ,301.9,8
17.269,100.115,324.3,1,1,2016-12-02,06:45,A,77,5.0       ,301.8,14.8
17.323,99.707,314.9,1,1,2016-12-02,06:45,A,53,5.0       ,300.5,7
16.885,96.713,321.5,1.2,1.1,2016-12-02,06:45,A,74,5.0       ,304,15.8
17.451,100.362,319.9,1,1,2016-12-02,06:45,A,72,5.0       ,303.3,12.5
17.408,100.058,315.2,1,1,2016-12-02,06:45,A,56,5.0       ,298.4,6
17.578,99.821,316,1,1,2016-12-02,06:45,A,65,5.0       ,303.1,9.5
17.576,99.812,315.5,1,1,2016-12-02,06:45,A,62,5.0       ,301.4,9.2
18.231,100.286,310.4,1,1,2016-12-02,06:45,A,37,5.0       ,292.1,5.8
