latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-4.096,138.947,310.5,1.5,1.2,2016-06-05,00:55,T,31,5.0       ,296.9,14.8
-6.588,146.649,313.5,1.5,1.2,2016-06-05,00:55,T,58,5.0       ,296.9,14.1
30.737,105.692,319,1.4,1.2,2016-06-05,04:00,T,16,5.0       ,305.4,17.2
30.913,104.63,321.9,1.2,1.1,2016-06-05,04:00,T,75,5.0       ,305.3,15.1
30.971,104.171,320.5,1.1,1.1,2016-06-05,04:00,T,73,5.0       ,305.4,11.3
30.969,104.182,329.8,1.1,1.1,2016-06-05,04:00,T,83,5.0       ,307.1,25.9
30.914,104.391,325.4,1.2,1.1,2016-06-05,04:00,T,79,5.0       ,304.4,18.7
30.867,104.606,325.8,1.2,1.1,2016-06-05,04:00,T,79,5.0       ,306.7,20.3
30.925,104.209,330,1.1,1.1,2016-06-05,04:00,T,80,5.0       ,306.8,23.3
30.923,104.221,329,1.1,1.1,2016-06-05,04:00,T,32,5.0       ,307.3,19.5
30.868,104.288,337.2,1.2,1.1,2016-06-05,04:00,T,86,5.0       ,309.3,34.2
30.85,104.395,328.4,1.2,1.1,2016-06-05,04:00,T,64,5.0       ,307.6,20.5
30.861,104.274,333.3,1.2,1.1,2016-06-05,04:00,T,82,5.0       ,308.4,23.5
30.859,104.286,337.7,1.2,1.1,2016-06-05,04:00,T,88,5.0       ,309,32.5
30.837,104.417,327.7,1.2,1.1,2016-06-05,04:00,T,74,5.0       ,307.9,19.6
30.865,104.189,332.9,1.1,1.1,2016-06-05,04:00,T,85,5.0       ,307.7,28.2
30.863,104.201,333.3,1.1,1.1,2016-06-05,04:00,T,80,5.0       ,306.8,26.9
30.851,104.272,338.3,1.2,1.1,2016-06-05,04:00,T,89,5.0       ,308.4,32.7
30.85,104.284,334.4,1.2,1.1,2016-06-05,04:00,T,64,5.0       ,307.8,25.6
30.809,104.207,323.9,1.1,1.1,2016-06-05,04:00,T,47,5.0       ,307,11.7
30.807,104.219,332.7,1.1,1.1,2016-06-05,04:00,T,85,5.0       ,309.3,28.3
30.805,104.231,327.3,1.2,1.1,2016-06-05,04:00,T,72,5.0       ,306.5,18.1
30.804,104.121,330.2,1.1,1.1,2016-06-05,04:00,T,59,5.0       ,308.2,20.5
30.798,104.156,327.6,1.1,1.1,2016-06-05,04:00,T,57,5.0       ,307.8,13.6
30.794,104.119,325.4,1.1,1.1,2016-06-05,04:00,T,39,5.0       ,306.9,12.7
30.731,104.263,328.8,1.2,1.1,2016-06-05,04:00,T,82,5.0       ,309.7,19.6
30.751,104.025,332.4,1.1,1.1,2016-06-05,04:00,T,59,5.0       ,309.5,18.3
30.746,104.029,332.7,1.1,1.1,2016-06-05,04:00,T,76,5.0       ,309.3,22.1
30.744,104.041,330.8,1.1,1.1,2016-06-05,04:00,T,65,5.0       ,310.9,19.2
30.742,104.052,330.2,1.1,1.1,2016-06-05,04:00,T,75,5.0       ,311.7,20
30.712,103.938,327.4,1.1,1.1,2016-06-05,04:00,T,33,5.0       ,308.4,15.3
30.684,103.725,320.7,1.1,1,2016-06-05,04:00,T,69,5.0       ,305.1,12.1
30.663,103.85,327.6,1.1,1.1,2016-06-05,04:00,T,43,5.0       ,306.8,15.2
