latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
15.349,103.2,316.7,1.1,1.1,2016-02-16, 03:55,T,57,5.0       ,296.2,14.1
0.094,117.344,317.8,1.8,1.3,2016-02-16, 02:20,T,0,5.0       ,293.5,25.7
-0.13,116.491,311.8,2,1.4,2016-02-16, 02:20,T,39,5.0       ,290.3,22.2
10.473,122.926,321.7,1.1,1,2016-02-16, 02:15,T,74,5.0       ,297.6,17
10.464,122.925,318.9,1.1,1,2016-02-16, 02:15,T,65,5.0       ,298.2,13
10.34,123.02,325.6,1.1,1,2016-02-16, 02:15,T,79,5.0       ,297.8,21
10.338,123.03,322.1,1.1,1,2016-02-16, 02:15,T,75,5.0       ,298.7,16.2
0.624,102.85,312,1.7,1.3,2016-02-16, 03:55,T,45,5.0       ,294.1,20.5
27.517,101.508,312.8,1.1,1.1,2016-02-16, 03:50,T,56,5.0       ,296.7,11.2
26.871,101.959,320,1.1,1,2016-02-16, 03:50,T,72,5.0       ,296.5,24.3
26.715,101.392,321.8,1.1,1.1,2016-02-16, 03:50,T,74,5.0       ,294.7,26.2
26.752,100.701,326.4,1.2,1.1,2016-02-16, 03:50,T,79,5.0       ,294.3,39.6
26.579,101.661,312.3,1.1,1,2016-02-16, 03:50,T,49,5.0       ,298.6,8.8
26.577,101.672,317.3,1.1,1,2016-02-16, 03:50,T,68,5.0       ,299.3,14.6
26.562,100.827,313,1.2,1.1,2016-02-16, 03:50,T,45,5.0       ,291.9,15.1
26.542,100.826,310.4,1.2,1.1,2016-02-16, 03:50,T,18,5.0       ,292.5,12.5
26.603,100.18,310.6,1.3,1.1,2016-02-16, 03:50,T,41,5.0       ,293.2,12.9
26.478,100.945,318.4,1.2,1.1,2016-02-16, 03:50,T,60,5.0       ,293.7,22.5
26.392,101.347,315.4,1.1,1.1,2016-02-16, 03:50,T,38,5.0       ,302,12.9
26.427,100.932,310.6,1.2,1.1,2016-02-16, 03:50,T,31,5.0       ,296.1,13.3
26.411,101.055,312.3,1.1,1.1,2016-02-16, 03:50,T,44,5.0       ,294.2,14.5
26.4,100.916,318.7,1.2,1.1,2016-02-16, 03:50,T,70,5.0       ,299.1,22.2
26.399,100.927,313.4,1.2,1.1,2016-02-16, 03:50,T,51,5.0       ,299.1,15.7
26.375,100.959,313,1.2,1.1,2016-02-16, 03:50,T,46,5.0       ,292,18.2
26.341,100.89,313.9,1.2,1.1,2016-02-16, 03:50,T,27,5.0       ,298,15.1
26.321,100.897,313.5,1.2,1.1,2016-02-16, 03:50,T,39,5.0       ,296.2,14.6
26.319,100.908,314.2,1.2,1.1,2016-02-16, 03:50,T,41,5.0       ,297.3,15.5
26.662,94.934,315.4,2.9,1.6,2016-02-16, 03:50,T,64,5.0       ,289.5,78.6
26.66,94.967,350.1,2.9,1.6,2016-02-16, 03:50,T,95,5.0       ,291.3,337.4
26.673,94.96,319.6,2.9,1.6,2016-02-16, 03:50,T,71,5.0       ,288.9,97.9
26.658,94.957,350.3,2.9,1.6,2016-02-16, 03:50,T,95,5.0       ,291,335.1
25.285,101.575,311.4,1.1,1,2016-02-16, 03:50,T,41,5.0       ,295.5,10.4
25.284,101.585,310.1,1.1,1,2016-02-16, 03:50,T,20,5.0       ,295.1,9.1
25.277,101.578,321.4,1.1,1,2016-02-16, 03:50,T,74,5.0       ,294.8,23.4
24.569,102.235,332.4,1,1,2016-02-16, 03:50,T,85,5.0       ,294.8,39.4
24.562,102.224,312.2,1,1,2016-02-16, 03:50,T,45,5.0       ,295.8,11.3
24.56,102.234,311.1,1,1,2016-02-16, 03:50,T,32,5.0       ,292.2,11.7
23.95,102.059,312.1,1,1,2016-02-16, 03:50,T,44,5.0       ,291.8,13.5
23.767,102.117,310.8,1,1,2016-02-16, 03:50,T,44,5.0       ,289.8,14.3
23.589,102.709,310.5,1,1,2016-02-16, 03:50,T,38,5.0       ,291.2,11.3
23.446,101.909,311.2,1,1,2016-02-16, 03:50,T,41,5.0       ,293,13.3
23.454,101.789,311.8,1,1,2016-02-16, 03:50,T,51,5.0       ,294.8,12.7
23.436,101.918,321.5,1,1,2016-02-16, 03:50,T,74,5.0       ,296.9,25.3
23.423,101.875,310.4,1,1,2016-02-16, 03:50,T,38,5.0       ,292.6,12
22.988,96.069,316.5,2.1,1.4,2016-02-16, 03:50,T,66,5.0       ,299.5,36.6
21.993,100.438,315.7,1.1,1,2016-02-16, 03:50,T,64,5.0       ,299,14.5
21.66,101.775,312.8,1,1,2016-02-16, 03:50,T,56,5.0       ,294.9,14.4
22.295,96.801,315.9,1.8,1.3,2016-02-16, 03:50,T,65,5.0       ,302.4,22.2
21.572,99.463,311.6,1.2,1.1,2016-02-16, 03:50,T,50,5.0       ,296.2,14.4
21.725,96.355,316,2,1.4,2016-02-16, 03:50,T,65,5.0       ,301.9,21.7
21.723,96.376,316.2,1.9,1.4,2016-02-16, 03:50,T,65,5.0       ,302.4,22.7
21.247,99.834,314.9,1.2,1.1,2016-02-16, 03:50,T,62,5.0       ,299.6,14.7
21.39,96.533,312.4,1.9,1.3,2016-02-16, 03:50,T,37,5.0       ,300.8,18.7
21.125,96.242,316.7,2,1.4,2016-02-16, 03:50,T,60,5.0       ,302.7,20.9
20.355,100.321,321.9,1.1,1,2016-02-16, 03:50,T,75,5.0       ,300,21.1
20.354,100.331,322.4,1.1,1,2016-02-16, 03:50,T,75,5.0       ,300.8,21.8
20.223,99.798,317.1,1.1,1.1,2016-02-16, 03:50,T,67,5.0       ,297.7,16
20.099,99.117,324.7,1.2,1.1,2016-02-16, 03:50,T,78,5.0       ,293.8,35.6
20.098,99.11,319.4,1.2,1.1,2016-02-16, 03:50,T,68,5.0       ,294.7,26.8
19.93,100.278,316.5,1.1,1,2016-02-16, 03:50,T,66,5.0       ,299.7,12.4
19.786,99.703,314.7,1.1,1.1,2016-02-16, 03:50,T,62,5.0       ,299.9,11.1
19.828,96.318,315.6,1.8,1.3,2016-02-16, 03:50,T,47,5.0       ,304.2,18.2
19.305,99.399,315.2,1.2,1.1,2016-02-16, 03:50,T,60,5.0       ,304.5,13.6
