latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-9.974,147.749,320,1.8,1.3,2016-02-25,03:25,A,63,5.0       ,296,24.5
-7.11,147.008,315,1.9,1.3,2016-02-25,03:30,A,63,5.0       ,280.5,37.4
15.925,119.98,315,1.2,1.1,2016-02-25,05:15,A,0,5.0       ,293.5,12.9
17.495,120.465,318.6,1.1,1,2016-02-25,05:15,A,56,5.0       ,300.5,9.2
17.6,120.803,316.5,1.1,1,2016-02-25,05:15,A,49,5.0       ,298.5,9.5
17.741,120.583,316.9,1.1,1,2016-02-25,05:15,A,51,5.0       ,294.1,18
18.275,120.809,314,1.1,1,2016-02-25,05:15,A,54,5.0       ,297.7,9.9
18.274,120.799,310.9,1.1,1,2016-02-25,05:15,A,35,5.0       ,297.1,6.8
18.353,120.78,328.5,1.1,1,2016-02-25,05:15,A,81,5.0       ,291.9,29.8
-2.186,125.939,315.7,1,1,2016-02-25,05:10,A,64,5.0       ,292.4,11.2
0.77,127.369,322.3,1,1,2016-02-25,05:10,A,0,5.0       ,301.4,15.8
0.81,122.545,313.7,1.4,1.2,2016-02-25,05:10,A,49,5.0       ,290.6,17
5.729,125.423,320.4,1,1,2016-02-25,05:10,A,72,5.0       ,300.8,11.8
6.004,125.347,328.5,1,1,2016-02-25,05:10,A,74,5.0       ,308.5,12.6
6.003,125.338,328.5,1,1,2016-02-25,05:10,A,78,5.0       ,307.7,11.6
2.213,98.084,337.3,1.2,1.1,2016-02-25,06:50,A,67,5.0       ,298.4,51.3
2.778,97.751,322.4,1.3,1.1,2016-02-25,06:50,A,75,5.0       ,299.1,23
2.81,97.758,315.6,1.3,1.1,2016-02-25,06:50,A,58,5.0       ,298.4,10.1
3.369,101.58,323.5,1,1,2016-02-25,06:50,A,35,5.0       ,303.6,11.6
2.811,97.634,319.3,1.3,1.1,2016-02-25,06:50,A,0,5.0       ,297.1,18.6
2.827,97.668,339.1,1.3,1.1,2016-02-25,06:50,A,89,5.0       ,297.1,62.1
2.825,97.656,319.4,1.3,1.1,2016-02-25,06:50,A,66,5.0       ,297.1,18.8
3.015,97.969,316.9,1.2,1.1,2016-02-25,06:50,A,40,5.0       ,296.8,14.8
2.943,97.477,317.4,1.3,1.1,2016-02-25,06:50,A,64,5.0       ,298.3,14.8
3.026,97.978,319.1,1.2,1.1,2016-02-25,06:50,A,59,5.0       ,297.3,18.9
3.024,97.967,381.9,1.2,1.1,2016-02-25,06:50,A,100,5.0       ,300.9,224.2
3.023,97.956,321.8,1.2,1.1,2016-02-25,06:50,A,74,5.0       ,297.8,22.9
3.087,97.907,318.6,1.2,1.1,2016-02-25,06:50,A,57,5.0       ,298.6,17.2
3.175,98.011,320.4,1.2,1.1,2016-02-25,06:50,A,27,5.0       ,299.8,13.6
4.071,101.148,321.2,1,1,2016-02-25,06:50,A,74,5.0       ,305.5,13
5.236,101.651,338,1,1,2016-02-25,06:50,A,89,5.0       ,299.2,44.2
4.531,96.617,318.4,1.4,1.2,2016-02-25,06:50,A,69,5.0       ,294.5,31.7
