latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
6.686,125.004,323.2,1.3,1.1,2016-02-23,05:20,A,71,5.0       ,292.3,23.6
5.934,116.443,327.5,1.9,1.3,2016-02-23,05:20,A,81,5.0       ,293.9,75.2
-3.788,103.537,318.3,1.5,1.2,2016-02-23,07:00,A,39,5.0       ,296.4,18
-2.86,103.815,315.6,1.7,1.3,2016-02-23,07:00,A,64,5.0       ,293.2,17.4
0.303,103.009,325.6,1.6,1.3,2016-02-23,07:00,A,59,5.0       ,298.9,28.8
0.86,102.5,322.2,1.5,1.2,2016-02-23,07:00,A,70,5.0       ,303.1,27.1
1.016,101.429,322.4,1.3,1.1,2016-02-23,07:00,A,64,5.0       ,301.4,18.3
1.397,101.947,319.7,1.4,1.2,2016-02-23,07:00,A,33,5.0       ,301.8,19.7
1.302,99.005,317.4,1,1,2016-02-23,07:00,A,51,5.0       ,297.7,10.8
3.364,103.368,316.7,1.9,1.4,2016-02-23,07:00,A,66,5.0       ,296.8,29.8
3.249,98.069,316.7,1,1,2016-02-23,07:00,A,66,5.0       ,297.1,13.1
3.263,97.849,332.6,1,1,2016-02-23,07:00,A,80,5.0       ,304.8,26.7
3.273,97.857,323.8,1,1,2016-02-23,07:00,A,54,5.0       ,306.9,12.6
4.466,97.507,322.6,1,1,2016-02-23,07:00,A,75,5.0       ,299.3,19.2
4.687,96.544,314.5,1,1,2016-02-23,07:00,A,60,5.0       ,299.6,12
5.131,95.42,313.7,1.1,1,2016-02-23,07:00,A,59,5.0       ,298.7,9.5
5.13,95.41,313,1.1,1,2016-02-23,07:00,A,50,5.0       ,299.2,8.4
10.659,103.597,313.2,2.6,1.6,2016-02-23,07:00,A,31,5.0       ,295.6,25.3
10.763,104.196,322.2,3,1.6,2016-02-23,07:00,A,57,5.0       ,301.8,47.8
11.267,103.729,317.1,2.8,1.6,2016-02-23,07:00,A,23,5.0       ,299.3,37.3
11.637,103.923,326,2.9,1.6,2016-02-23,07:00,A,56,5.0       ,304.2,55.6
11.634,103.896,328.1,2.9,1.6,2016-02-23,07:00,A,54,5.0       ,304.3,75.6
11.638,103.918,328.8,2.9,1.6,2016-02-23,07:00,A,66,5.0       ,304.9,74
11.68,103.618,318.8,2.8,1.6,2016-02-23,07:00,A,62,5.0       ,301.1,52
12.093,106.06,320.7,4.3,1.9,2016-02-23,07:00,A,52,5.0       ,301.3,64.8
12.096,106.051,320.3,4.3,1.9,2016-02-23,07:05,A,57,5.0       ,300.9,61.7
12.25,106.663,325.2,4.8,2,2016-02-23,07:05,A,48,5.0       ,307.2,69.1
20.378,94.384,324.3,1,1,2016-02-23,07:05,A,68,5.0       ,309.5,8.7
20.376,94.374,330.1,1,1,2016-02-23,07:05,A,71,5.0       ,311.1,18.9
20.42,94.478,326.6,1,1,2016-02-23,07:05,A,80,5.0       ,311.2,11.1
20.572,94.382,329.5,1,1,2016-02-23,07:05,A,82,5.0       ,311.9,15
20.571,94.373,329.5,1,1,2016-02-23,07:05,A,78,5.0       ,312.4,14.7
20.581,94.381,332.1,1,1,2016-02-23,07:05,A,67,5.0       ,311.4,18.1
20.58,94.371,346.3,1,1,2016-02-23,07:05,A,93,5.0       ,312.3,44
20.578,94.362,327.6,1,1,2016-02-23,07:05,A,38,5.0       ,311.3,12.7
20.943,96.895,351.3,1.2,1.1,2016-02-23,07:05,A,96,5.0       ,310.6,75.7
20.941,96.883,328.8,1.2,1.1,2016-02-23,07:05,A,82,5.0       ,311.5,18.4
20.882,96.418,322.3,1.2,1.1,2016-02-23,07:05,A,75,5.0       ,306.1,12.3
20.648,94.468,328.5,1,1,2016-02-23,07:05,A,81,5.0       ,310.4,12.9
20.647,94.458,328.3,1,1,2016-02-23,07:05,A,81,5.0       ,312.7,12.6
20.628,94.324,325.7,1,1,2016-02-23,07:05,A,72,5.0       ,306.6,14
21.589,102.252,318.1,3,1.6,2016-02-23,07:05,A,69,5.0       ,295.4,79
21.026,97.15,332.8,1.3,1.1,2016-02-23,07:05,A,65,5.0       ,309.9,31.9
21.588,102.248,316,3,1.6,2016-02-23,07:05,A,65,5.0       ,295.5,67.8
20.68,94.369,324.3,1,1,2016-02-23,07:05,A,72,5.0       ,311.5,7.8
20.678,94.359,334.9,1,1,2016-02-23,07:05,A,86,5.0       ,312.2,24.1
21.004,96.427,318.6,1.2,1.1,2016-02-23,07:05,A,50,5.0       ,303.6,9.5
20.714,94.285,325.4,1,1,2016-02-23,07:05,A,51,5.0       ,309.8,11.6
20.729,94.332,329.9,1,1,2016-02-23,07:05,A,83,5.0       ,310.7,17.5
20.728,94.322,327.5,1,1,2016-02-23,07:05,A,81,5.0       ,310.4,14.7
20.723,94.284,325.4,1,1,2016-02-23,07:05,A,29,5.0       ,308.1,10.3
20.742,94.359,323.1,1,1,2016-02-23,07:05,A,76,5.0       ,308.7,8.9
20.741,94.349,323.1,1,1,2016-02-23,07:05,A,68,5.0       ,308.8,8
20.742,94.284,325.2,1,1,2016-02-23,07:05,A,73,5.0       ,308.5,12.6
20.57,93.035,315.3,1,1,2016-02-23,07:05,A,50,5.0       ,300.4,6.8
21.301,98.54,326.6,1.6,1.2,2016-02-23,07:05,A,80,5.0       ,305.1,34
21.129,97.086,328.2,1.3,1.1,2016-02-23,07:05,A,78,5.0       ,309.7,19.5
20.768,94.338,329,1,1,2016-02-23,07:05,A,73,5.0       ,307.9,16.6
20.755,94.243,325.6,1,1,2016-02-23,07:05,A,79,5.0       ,310.6,10.4
20.776,94.327,328.4,1,1,2016-02-23,07:05,A,81,5.0       ,308.4,16.9
21.179,97.241,333.9,1.3,1.1,2016-02-23,07:05,A,86,5.0       ,305.2,43.4
21.162,97.107,323.7,1.3,1.1,2016-02-23,07:05,A,73,5.0       ,309.5,12.9
20.807,94.352,319.7,1,1,2016-02-23,07:05,A,61,5.0       ,307.1,7.9
20.802,94.255,324.9,1,1,2016-02-23,07:05,A,32,5.0       ,307.2,12.4
20.785,94.131,325.7,1,1,2016-02-23,07:05,A,61,5.0       ,307.7,13.8
21.176,96.969,319.3,1.3,1.1,2016-02-23,07:05,A,71,5.0       ,305.4,10.6
21.17,96.849,325.7,1.2,1.1,2016-02-23,07:05,A,20,5.0       ,310.7,14.7
21.181,96.854,334.8,1.2,1.1,2016-02-23,07:05,A,45,5.0       ,310.7,30.7
21.191,96.853,333.5,1.2,1.1,2016-02-23,07:05,A,81,5.0       ,314.1,31.6
21.246,97.052,320.6,1.3,1.1,2016-02-23,07:05,A,58,5.0       ,307.1,14.3
21.256,97.05,324.4,1.3,1.1,2016-02-23,07:05,A,77,5.0       ,306.2,21.8
21.337,97.534,317.7,1.4,1.2,2016-02-23,07:05,A,60,5.0       ,301.7,18.1
21.067,95.041,327.6,1,1,2016-02-23,07:05,A,73,5.0       ,314.8,7.8
21.309,96.817,331.4,1.2,1.1,2016-02-23,07:05,A,74,5.0       ,312.2,21.1
21.506,98.069,317.8,1.5,1.2,2016-02-23,07:05,A,68,5.0       ,300.7,21.9
21.404,97.179,315.4,1.3,1.1,2016-02-23,07:05,A,64,5.0       ,302,13.3
21.314,96.367,327,1.2,1.1,2016-02-23,07:05,A,73,5.0       ,307.4,23.6
21.334,96.446,322,1.2,1.1,2016-02-23,07:05,A,47,5.0       ,308.2,11.6
21.358,96.408,325.6,1.2,1.1,2016-02-23,07:05,A,79,5.0       ,310.6,14.8
21.357,96.397,327.8,1.2,1.1,2016-02-23,07:05,A,81,5.0       ,309.9,19
21.158,94.299,324,1,1,2016-02-23,07:05,A,77,5.0       ,306.6,13
21.794,99.268,319.2,1.8,1.3,2016-02-23,07:05,A,71,5.0       ,299.6,38.8
21.684,97.998,314.3,1.5,1.2,2016-02-23,07:05,A,36,5.0       ,300.2,10.6
21.504,96.502,324,1.2,1.1,2016-02-23,07:05,A,60,5.0       ,311.2,15.2
21.542,96.335,330.4,1.2,1.1,2016-02-23,07:05,A,83,5.0       ,311.9,19
21.863,98.368,327.4,1.6,1.2,2016-02-23,07:05,A,80,5.0       ,301.8,44.8
21.861,98.352,332.8,1.6,1.2,2016-02-23,07:05,A,85,5.0       ,302.5,59.6
21.322,94.153,316.9,1,1,2016-02-23,07:05,A,44,5.0       ,301.6,7.3
21.32,94.143,321.8,1,1,2016-02-23,07:05,A,62,5.0       ,304.3,12.6
21.78,97.325,319,1.3,1.1,2016-02-23,07:05,A,57,5.0       ,304.1,16
21.779,97.312,319.1,1.3,1.1,2016-02-23,07:05,A,43,5.0       ,305.7,16.9
21.369,93.973,311.4,1,1,2016-02-23,07:05,A,34,5.0       ,292.1,9
21.926,98.233,319.1,1.5,1.2,2016-02-23,07:05,A,57,5.0       ,303.8,20.1
21.709,96.437,345.9,1.2,1.1,2016-02-23,07:05,A,93,5.0       ,313.8,54.9
21.721,96.458,325.7,1.2,1.1,2016-02-23,07:05,A,56,5.0       ,308.4,14.4
21.975,98.272,317.7,1.5,1.2,2016-02-23,07:05,A,66,5.0       ,301.8,16.8
21.756,96.416,333.4,1.2,1.1,2016-02-23,07:05,A,85,5.0       ,307.6,29.9
21.754,96.405,326.7,1.2,1.1,2016-02-23,07:05,A,80,5.0       ,309.2,17.7
21.977,98.265,321.8,1.5,1.2,2016-02-23,07:05,A,74,5.0       ,302.7,25.2
21.758,96.409,331.8,1.2,1.1,2016-02-23,07:05,A,84,5.0       ,309.1,28.6
21.777,96.478,322.1,1.2,1.1,2016-02-23,07:05,A,56,5.0       ,309.2,16
21.832,96.599,321.4,1.2,1.1,2016-02-23,07:05,A,67,5.0       ,306.7,18.1
21.83,96.588,320.5,1.2,1.1,2016-02-23,07:05,A,66,5.0       ,308.3,17.4
21.921,97.152,323.8,1.3,1.1,2016-02-23,07:05,A,71,5.0       ,305,23.4
21.86,96.666,321.8,1.2,1.1,2016-02-23,07:05,A,65,5.0       ,305.8,17.4
21.859,96.655,319.1,1.2,1.1,2016-02-23,07:05,A,48,5.0       ,307.6,13.7
21.995,97.356,323.3,1.4,1.2,2016-02-23,07:05,A,37,5.0       ,308,23.5
21.947,96.479,317.5,1.2,1.1,2016-02-23,07:05,A,56,5.0       ,304.6,10.1
21.972,96.263,328.5,1.2,1.1,2016-02-23,07:05,A,81,5.0       ,307.7,25.5
21.971,96.252,343.6,1.2,1.1,2016-02-23,07:05,A,92,5.0       ,309.6,55.6
22.049,96.794,325.5,1.3,1.1,2016-02-23,07:05,A,79,5.0       ,305.6,21.1
22.042,96.737,320.8,1.2,1.1,2016-02-23,07:05,A,65,5.0       ,306.3,14.5
22.041,96.725,320.6,1.2,1.1,2016-02-23,07:05,A,73,5.0       ,306.2,15.7
22.075,96.913,324.7,1.3,1.1,2016-02-23,07:05,A,70,5.0       ,302.3,18.8
22.085,96.912,322.8,1.3,1.1,2016-02-23,07:05,A,55,5.0       ,299.9,15.1
22.035,96.271,323.9,1.2,1.1,2016-02-23,07:05,A,64,5.0       ,310,15.8
22.074,96.346,318.2,1.2,1.1,2016-02-23,07:05,A,56,5.0       ,305.6,10.5
22.273,97.796,336.4,1.5,1.2,2016-02-23,07:05,A,88,5.0       ,307.8,57
22.306,97.892,322.7,1.5,1.2,2016-02-23,07:05,A,70,5.0       ,303.8,19.3
22.132,96.487,324.4,1.2,1.1,2016-02-23,07:05,A,43,5.0       ,306,21.1
22.13,96.475,322.5,1.2,1.1,2016-02-23,07:05,A,48,5.0       ,302.3,19.9
