latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-8.803,146.53,317.2,2,1.4,2016-11-19,01:00,T,0,5.0       ,290.1,35.4
-8.113,140.823,314.1,1,1,2016-11-19,01:00,T,60,5.0       ,290,9.4
-8.153,139.979,310.4,1,1,2016-11-19,01:00,T,24,5.0       ,287.4,7.9
-8.526,142.34,311.6,1.1,1,2016-11-19,01:00,T,50,5.0       ,295,8.5
-8.343,140.704,319.3,1,1,2016-11-19,01:00,T,71,5.0       ,299.9,12.2
-8.489,141.127,316.4,1,1,2016-11-19,01:00,T,66,5.0       ,295.2,7.1
-8.49,141.136,314.1,1,1,2016-11-19,01:00,T,55,5.0       ,293.1,4.7
-8.495,141.043,321.9,1,1,2016-11-19,01:00,T,66,5.0       ,296.8,9.9
-8.521,141.159,326.9,1,1,2016-11-19,01:00,T,80,5.0       ,295.5,20
-8.522,141.169,325.4,1,1,2016-11-19,01:00,T,79,5.0       ,295.3,17.9
-8.521,140.905,324.1,1,1,2016-11-19,01:00,T,77,5.0       ,300.2,13.6
-8.522,140.914,323,1,1,2016-11-19,01:00,T,76,5.0       ,300.8,12.1
-8.47,140.498,320.6,1,1,2016-11-19,01:00,T,73,5.0       ,296.2,12.7
-8.471,140.507,315.2,1,1,2016-11-19,01:00,T,49,5.0       ,296.3,7.1
-8.552,140.928,321.4,1,1,2016-11-19,01:00,T,74,5.0       ,301.4,11.2
-8.649,141.404,317,1,1,2016-11-19,01:00,T,63,5.0       ,298.1,8.5
-8.542,140.49,324,1,1,2016-11-19,01:00,T,69,5.0       ,304.3,12
-8.837,142.456,327,1.1,1,2016-11-19,01:00,T,80,5.0       ,298.8,26
-8.839,142.466,315.7,1.1,1,2016-11-19,01:00,T,44,5.0       ,299.4,10.3
-8.661,141.108,321.2,1,1,2016-11-19,01:00,T,74,5.0       ,297.4,13.2
-8.662,141.117,323.2,1,1,2016-11-19,01:00,T,76,5.0       ,297.9,15.6
-8.601,140.518,319.8,1,1,2016-11-19,01:00,T,21,5.0       ,301.2,7.2
-8.632,140.661,321.5,1,1,2016-11-19,01:00,T,74,5.0       ,293.9,16
-8.91,142.52,313.2,1.1,1,2016-11-19,01:00,T,45,5.0       ,297.4,9.5
-8.96,142.274,320.7,1.1,1,2016-11-19,01:00,T,69,5.0       ,302.9,15.1
-8.884,141.633,322.3,1,1,2016-11-19,01:00,T,75,5.0       ,292.1,16.1
-8.936,141.606,315,1,1,2016-11-19,01:00,T,45,5.0       ,294.5,7.5
-8.938,141.616,319.8,1,1,2016-11-19,01:00,T,72,5.0       ,296,13.3
-8.939,141.625,319.9,1,1,2016-11-19,01:00,T,72,5.0       ,295.5,12.9
-8.87,140.838,322.5,1,1,2016-11-19,01:00,T,24,5.0       ,290.9,14.5
-8.96,140.828,319.9,1,1,2016-11-19,01:00,T,58,5.0       ,287.6,13.3
-8.962,140.837,325.1,1,1,2016-11-19,01:00,T,78,5.0       ,288.2,19.2
-9.14,141.937,317.6,1,1,2016-11-19,01:00,T,65,5.0       ,293.3,12
-9.149,141.935,316.3,1,1,2016-11-19,01:00,T,46,5.0       ,293.6,10.5
-9.007,140.895,332,1,1,2016-11-19,01:00,T,84,5.0       ,294.7,28.5
-9.008,140.904,344.4,1,1,2016-11-19,01:00,T,92,5.0       ,296,50.8
-9.017,140.902,318.8,1,1,2016-11-19,01:00,T,65,5.0       ,294.1,12.5
-9.151,141.686,327,1,1,2016-11-19,01:00,T,80,5.0       ,295,20.9
-9.156,141.724,324.9,1,1,2016-11-19,01:00,T,59,5.0       ,293.8,16.9
-9.297,142.594,319.7,1.1,1.1,2016-11-19,01:00,T,66,5.0       ,297.7,14.7
-9.123,141.308,321.6,1,1,2016-11-19,01:00,T,48,5.0       ,297.1,12.9
-11.618,142.179,319.8,1.1,1.1,2016-11-19,01:00,T,66,5.0       ,280.7,21.1
-11.824,142.485,324.3,1.6,1.3,2016-11-19,03:50,A,58,5.0       ,295.9,33.6
-11.737,142.452,328.9,1.7,1.3,2016-11-19,03:50,A,67,5.0       ,300.3,35.9
-11.725,142.45,331.1,1.7,1.3,2016-11-19,03:50,A,66,5.0       ,296.2,44.6
-11.697,142.4,392.4,1.7,1.3,2016-11-19,03:50,A,100,5.0       ,297,424.5
-11.699,142.385,351.6,1.7,1.3,2016-11-19,03:50,A,96,5.0       ,290.3,124
-11.698,142.41,348.2,1.7,1.3,2016-11-19,03:50,A,88,5.0       ,293.8,112.7
-11.7,142.395,377.8,1.7,1.3,2016-11-19,03:50,A,100,5.0       ,296,292.5
-11.688,142.394,322.3,1.7,1.3,2016-11-19,03:50,A,51,5.0       ,288.7,28.8
-11.69,142.378,324.3,1.7,1.3,2016-11-19,03:50,A,66,5.0       ,287.7,33.2
-11.526,142.209,323.7,1.7,1.3,2016-11-19,03:50,A,62,5.0       ,287,37.1
-11.517,142.218,338.4,1.7,1.3,2016-11-19,03:50,A,89,5.0       ,281.9,92.7
-11.519,142.202,323.1,1.7,1.3,2016-11-19,03:50,A,62,5.0       ,282.8,42
-9.471,147.278,327.5,1,1,2016-11-19,03:50,A,81,5.0       ,291.8,17.3
-9.45,147.286,318.8,1,1,2016-11-19,03:50,A,33,5.0       ,289.7,8.4
-9.304,142.605,321.4,1.5,1.2,2016-11-19,03:50,A,74,5.0       ,292.2,33.2
-9.28,142.711,315.9,1.5,1.2,2016-11-19,03:50,A,61,5.0       ,287.6,21.1
-9.281,142.697,311.1,1.5,1.2,2016-11-19,03:50,A,37,5.0       ,288.4,13.2
