latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
1.444,125.19,320.9,1.4,1.2,2016-10-17,01:55,T,13,5.0       ,299,22.3
-5.464,122.608,317.9,1.7,1.3,2016-10-17,01:55,T,0,5.0       ,299.8,22.6
-8.275,130.872,329.1,1.4,1.2,2016-10-17,01:55,T,72,5.0       ,303.4,30.6
-8.278,125.075,348.9,1.1,1,2016-10-17,01:55,T,94,5.0       ,308.1,57.1
-8.231,123.65,326.9,1.3,1.1,2016-10-17,01:55,T,0,5.0       ,305.2,25.3
-4.218,152.188,315.2,1,1,2016-10-17,00:15,T,0,5.0       ,289.6,12
-9.548,149.216,321,1.1,1.1,2016-10-17,00:15,T,50,5.0       ,298.2,15.3
-9.551,149.236,319.5,1.1,1.1,2016-10-17,00:15,T,33,5.0       ,299.2,13.1
-9.631,149.509,325.9,1.1,1,2016-10-17,00:15,T,49,5.0       ,301.1,15.7
-11.073,142.364,315.9,3.2,1.7,2016-10-17,00:20,T,65,5.0       ,295.4,45
-11.069,142.357,315.9,3.2,1.7,2016-10-17,00:20,T,65,5.0       ,296.4,46.7
-11.14,142.314,322.9,3.2,1.7,2016-10-17,00:20,T,76,5.0       ,295.9,90.9
-11.145,142.343,332.7,3.2,1.7,2016-10-17,00:20,T,85,5.0       ,297,163.5
-11.137,142.309,316,3.2,1.7,2016-10-17,00:20,T,65,5.0       ,295.6,48.4
-11.142,142.338,335.5,3.2,1.7,2016-10-17,00:20,T,87,5.0       ,297.1,190.5
-8.419,127.077,313.5,1.9,1.3,2016-10-17,04:45,A,52,5.0       ,296.4,19.2
-8.51,122.796,312.1,4.1,1.9,2016-10-17,04:45,A,25,5.0       ,292.5,69.9
-7.361,131.461,321.3,1,1,2016-10-17,04:45,A,72,5.0       ,293.3,17
-7.352,131.46,321.2,1,1,2016-10-17,04:45,A,67,5.0       ,295.1,16.5
-8.506,122.788,311.7,4.1,1.9,2016-10-17,04:45,A,12,5.0       ,292.6,64
-7.227,131.954,323,1,1,2016-10-17,04:45,A,70,5.0       ,295.5,15.3
-7.228,131.945,333.9,1,1,2016-10-17,04:45,A,86,5.0       ,295.5,31
-7.616,126.645,320.7,2,1.4,2016-10-17,04:45,A,55,5.0       ,294.2,49.3
-5.845,132.797,318.5,1,1,2016-10-17,04:45,A,70,5.0       ,297.9,11.8
21.797,95.266,313.1,4.6,2,2016-10-17,05:05,T,21,5.0       ,290.8,63.6
-9.736,149.564,312.1,3,1.6,2016-10-17,03:10,A,40,5.0       ,292,35.6
-9.736,149.559,312.4,3,1.6,2016-10-17,03:10,A,11,5.0       ,292,35.9
20.114,100.017,313.1,1.1,1,2016-10-17,06:35,A,38,5.0       ,299.3,8.6
21.311,103.515,310.1,1.1,1,2016-10-17,06:35,A,17,5.0       ,292,7.9
21.665,103.341,322.7,1.1,1,2016-10-17,06:35,A,76,5.0       ,297.2,22.5
21.663,103.33,322.3,1.1,1,2016-10-17,06:35,A,75,5.0       ,295.9,22.6
21.342,98.167,317.3,1.3,1.1,2016-10-17,06:35,A,54,5.0       ,294.6,21.7
22.386,102.682,322,1.1,1,2016-10-17,06:35,A,75,5.0       ,294.8,23.6
26.576,101.663,325.8,1,1,2016-10-17,06:35,A,79,5.0       ,297.9,22.3
-11.144,142.326,327.1,3.4,1.7,2016-10-17,04:45,A,80,5.0       ,299.6,118.1
-11.149,142.295,323.4,3.4,1.7,2016-10-17,04:45,A,76,5.0       ,300.2,92.8
-11.134,142.292,336.2,3.4,1.7,2016-10-17,04:45,A,87,5.0       ,299,201.6
-11.139,142.261,349.6,3.4,1.7,2016-10-17,04:45,A,95,5.0       ,298,355.9
-11.076,142.346,321,3.5,1.8,2016-10-17,04:45,A,69,5.0       ,299.1,71
-11.081,142.315,336.5,3.4,1.7,2016-10-17,04:45,A,88,5.0       ,299.7,203.2
-11.06,142.344,327.9,3.5,1.8,2016-10-17,04:45,A,81,5.0       ,297.1,124.1
-11.066,142.312,344.4,3.4,1.7,2016-10-17,04:45,A,92,5.0       ,297.7,289.5
-11.125,142.286,331.7,3.4,1.7,2016-10-17,04:45,A,84,5.0       ,297.8,160.4
-11.131,142.254,329.7,3.4,1.7,2016-10-17,04:45,A,82,5.0       ,295.8,144.1
-11.068,142.34,340.6,3.5,1.8,2016-10-17,04:45,A,90,5.0       ,298.6,253.1
-11.073,142.309,350.2,3.4,1.7,2016-10-17,04:45,A,95,5.0       ,299.4,367.5
-11.942,135.774,317.6,1.1,1.1,2016-10-17,04:45,A,50,5.0       ,291.1,8.5
-11.837,133.228,327.5,1,1,2016-10-17,04:45,A,75,5.0       ,304.4,11.1
-11.812,133.271,325.7,1,1,2016-10-17,04:45,A,43,5.0       ,302.4,9.6
-10.273,123.942,313.1,3.6,1.8,2016-10-17,04:45,A,47,5.0       ,296.2,54
-10.28,123.939,314.7,3.6,1.8,2016-10-17,04:45,A,0,5.0       ,296.7,65.9
-10.127,124.146,315.8,3.4,1.7,2016-10-17,04:45,A,42,5.0       ,296.9,42.2
-10.117,124.139,332.3,3.4,1.7,2016-10-17,04:45,A,85,5.0       ,296.4,174.6
-8.936,126.114,313,2.3,1.5,2016-10-17,04:45,A,46,5.0       ,294.8,21
-8.411,127.081,314,1.9,1.3,2016-10-17,04:45,A,57,5.0       ,295.4,21.6
28.898,115.244,310,1.5,1.2,2016-10-17,03:25,T,20,5.0       ,287,14.6
26.878,111.795,312.2,1.1,1,2016-10-17,03:25,T,53,5.0       ,295.5,8.3
