latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
14.749,108.952,315.3,2.5,1.5,2016-06-01,02:50,T,63,5.0       ,292.9,36
19.795,104.597,330.4,2.1,1.4,2016-06-01,05:55,A,78,5.0       ,292.7,88.5
19.792,104.578,320.9,2.1,1.4,2016-06-01,05:55,A,0,5.0       ,290.3,50.9
19.832,104.734,327.3,2.1,1.4,2016-06-01,05:55,A,80,5.0       ,291.6,73.5
19.764,104.353,335,2.2,1.4,2016-06-01,05:55,A,87,5.0       ,293.8,114
19.774,104.332,317.5,2.2,1.4,2016-06-01,05:55,A,68,5.0       ,292.1,40
19.826,104.747,323.3,2,1.4,2016-06-01,05:55,A,71,5.0       ,288.5,53.2
19.796,104.59,326.1,2.1,1.4,2016-06-01,05:55,A,52,5.0       ,291.8,65.4
19.764,104.345,329.4,2.2,1.4,2016-06-01,05:55,A,82,5.0       ,294,87.7
19.672,103.717,317,2.5,1.5,2016-06-01,05:55,A,50,5.0       ,293.2,42.8
19.899,104.729,376.9,2,1.4,2016-06-01,05:55,A,100,5.0       ,295.4,406.8
19.746,103.89,340.1,2.4,1.5,2016-06-01,05:55,A,90,5.0       ,294.1,161.4
19.783,104.02,319.4,2.3,1.5,2016-06-01,05:55,A,71,5.0       ,292.5,50.3
19.779,103.996,327.9,2.3,1.5,2016-06-01,05:55,A,81,5.0       ,292.9,89
19.879,104.473,310.9,2.1,1.4,2016-06-01,05:55,A,22,5.0       ,289.1,20
19.816,104.125,356.7,2.3,1.5,2016-06-01,05:55,A,93,5.0       ,292.4,264.3
19.758,103.903,316.3,2.4,1.5,2016-06-01,05:55,A,49,5.0       ,289.9,39.8
19.813,104.119,339.5,2.3,1.5,2016-06-01,05:55,A,84,5.0       ,292.5,142.6
19.793,104.014,324.7,2.3,1.5,2016-06-01,05:55,A,78,5.0       ,291.8,72
19.788,103.987,319.6,2.3,1.5,2016-06-01,05:55,A,65,5.0       ,292,50.5
19.826,104.118,344.9,2.3,1.5,2016-06-01,05:55,A,87,5.0       ,292.6,182.8
20.069,105.234,312.2,1.9,1.3,2016-06-01,05:55,A,39,5.0       ,292.5,16.2
20.296,106.278,325.3,1.6,1.2,2016-06-01,05:55,A,78,5.0       ,298.3,32.6
20.3,106.286,318.8,1.6,1.2,2016-06-01,05:55,A,70,5.0       ,298.2,17.9
19.999,104.616,317.2,2.1,1.4,2016-06-01,05:55,A,56,5.0       ,291.9,31.7
20.017,104.433,343,2.1,1.4,2016-06-01,05:55,A,86,5.0       ,293.7,155.5
20.308,104.949,315,1.9,1.4,2016-06-01,05:55,A,63,5.0       ,295,23.5
20.531,105.554,314.7,1.7,1.3,2016-06-01,05:55,A,62,5.0       ,296.5,14.4
20.531,105.564,315.5,1.7,1.3,2016-06-01,05:55,A,64,5.0       ,296.9,16.5
22.295,113.93,318.2,1.3,1.1,2016-06-01,05:55,A,0,5.0       ,301.3,13.7
21.24,106.656,318.4,1.4,1.2,2016-06-01,05:55,A,69,5.0       ,297.5,14.3
